mes,oficina_id,oficina,provincia,comunidad_autonoma,zona_operativa,expedientes_recibidos,expedientes_resueltos,documentacion_pendiente,incidencias_abiertas,tiempo_medio_espera_min,satisfaccion_media,tasa_resolucion_pct,ratio_incidencias_pct
2025-01,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,2218,1987,210,22,58.5,4.75,89.59,0.99
2025-02,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,895,837,170,19,57.3,2.97,93.52,2.12
2025-03,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,1200,1134,43,73,49.9,3.98,94.5,6.08
2025-04,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,1566,1386,180,72,26.2,3.21,88.51,4.6
2025-05,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,2300,1867,45,54,64.0,4.68,81.17,2.35
2025-06,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,1503,1340,41,71,26.9,3.29,89.16,4.72
2025-07,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,1451,1406,183,0,37.4,3.82,96.9,0.0
2025-08,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,2132,2132,128,69,64.8,2.99,100.0,3.24
2025-09,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,1022,858,79,54,28.0,3.3,83.95,5.28
2025-10,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,1422,1364,142,54,63.1,3.78,95.92,3.8
2025-11,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,1481,1147,168,74,19.2,3.55,77.45,5.0
2025-12,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,2341,2338,83,63,33.4,4.87,99.87,2.69
2025-01,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,1908,1482,91,65,47.8,3.51,77.67,3.41
2025-02,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,1615,1326,209,44,62.7,4.27,82.11,2.72
2025-03,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,2619,2619,64,66,50.0,4.58,100.0,2.52
2025-04,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,2991,2928,143,63,23.2,2.5,97.89,2.11
2025-05,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,1439,1289,206,90,27.9,3.01,89.58,6.25
2025-06,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,835,807,84,12,54.1,4.39,96.65,1.44
2025-07,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,1940,1424,113,66,54.2,3.59,73.4,3.4
2025-08,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,2252,1881,115,28,64.0,3.8,83.53,1.24
2025-09,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,2248,1862,178,23,58.6,3.8,82.83,1.02
2025-10,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,2327,1898,176,17,66.7,4.46,81.56,0.73
2025-11,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,1562,1320,131,51,37.2,4.36,84.51,3.27
2025-12,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,2768,2424,64,31,14.4,4.4,87.57,1.12
2025-01,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,3375,2779,123,28,51.1,2.54,82.34,0.83
2025-02,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,3064,2472,143,45,29.8,2.81,80.68,1.47
2025-03,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,2463,2389,111,93,31.1,2.68,97.0,3.78
2025-04,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,2169,1906,166,24,50.7,2.84,87.87,1.11
2025-05,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,1362,1357,46,31,59.7,3.66,99.63,2.28
2025-06,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,1915,1722,51,91,52.3,3.22,89.92,4.75
2025-07,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,3028,2624,52,27,14.9,4.77,86.66,0.89
2025-08,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,2969,2832,124,34,66.2,3.66,95.39,1.15
2025-09,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,963,823,192,17,36.3,3.83,85.46,1.77
2025-10,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,1734,1578,213,14,68.0,4.57,91.0,0.81
2025-11,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,1234,1233,211,42,48.5,3.99,99.92,3.4
2025-12,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,1879,1861,82,52,15.7,3.09,99.04,2.77
2025-01,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,2317,2317,180,80,48.7,2.42,100.0,3.45
2025-02,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,2167,1825,155,92,12.8,2.9,84.22,4.25
2025-03,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,1772,1748,122,74,42.6,3.44,98.65,4.18
2025-04,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,3185,3120,30,61,18.8,4.71,97.96,1.92
2025-05,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,1252,990,67,23,46.3,4.32,79.07,1.84
2025-06,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,1948,1909,77,90,27.0,5.0,98.0,4.62
2025-07,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,2309,2275,88,8,49.0,4.76,98.53,0.35
2025-08,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,1423,1068,119,16,69.5,4.52,75.05,1.12
2025-09,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,3171,3016,111,66,36.0,3.59,95.11,2.08
2025-10,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,2087,1746,84,22,71.2,2.78,83.66,1.05
2025-11,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,1246,1177,185,92,66.6,3.14,94.46,7.38
2025-12,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,2690,2090,66,60,41.1,3.95,77.7,2.23
2025-01,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,3637,3253,28,94,17.9,4.11,89.44,2.58
2025-02,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,2285,0,24,94,26.2,3.04,0.0,4.11
2025-03,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,801,701,73,91,28.7,4.67,87.52,11.36
2025-04,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,1427,1064,219,40,65.9,3.92,74.56,2.8
2025-05,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,927,774,73,62,67.8,2.58,83.5,6.69
2025-06,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,2774,2213,136,66,62.2,4.14,79.78,2.38
2025-07,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,2308,1931,54,91,16.3,3.2,83.67,3.94
2025-08,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,1361,1166,94,22,70.1,4.12,85.67,1.62
2025-09,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,2260,1945,136,58,47.1,4.65,86.06,2.57
2025-10,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,1739,1710,164,89,39.0,2.72,98.33,5.12
2025-11,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,2942,2483,163,12,22.8,4.14,84.4,0.41
2025-12,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,2875,2087,204,21,24.7,3.22,72.59,0.73
2025-01,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,1811,1323,100,40,22.9,4.29,73.05,2.21
2025-02,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,1838,1386,143,81,24.1,4.64,75.41,4.41
2025-03,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,1876,1635,179,74,26.5,4.08,87.15,3.94
2025-04,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,2296,2125,112,22,21.6,3.77,92.55,0.96
2025-05,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,2486,1897,174,6,31.4,4.52,76.31,0.24
2025-06,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,1433,1101,53,52,23.0,4.74,76.83,3.63
