registro_id,mes,oficina_id,oficina,provincia,comunidad_autonoma,zona_operativa,canal_principal,prioridad_media_expedientes,expedientes_recibidos,expedientes_resueltos,documentacion_pendiente,incidencias_abiertas,tiempo_medio_espera_min,nivel_servicio,satisfaccion_media
2025-01_OFI-MAD-001,2025-01,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,telefono,alta,1908.0,1482,91,65,47.8,bajo,3.51
2025-01_OFI-MAD-002,2025-01,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,online,alta,3375.0,2779,123,28,51.1,medio,2.54
2025-01_OFI-MAD-003,2025-01,OFI-MAD-003,Oficina Empleo Sur,,Comunidad de Madrid,Sur,presencial,media,2317.0,2380,180,80,48.7,medio,2.42
2025-01_OFI-VAL-001,2025-01,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,online,alta,2164.0,1826,207,84,26.0,medio,2.63
2025-01_OFI-VAL-002,2025-01,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,online,baja,2377.0,2147,150,55,52.8,medio,3.53
2025-01_OFI-SEV-001,2025-01,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,telefono,media,3637.0,3253,28,94,17.9,medio,4.11
2025-01_OFI-SEV-002,2025-01,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,online,media,1811.0,1323,100,40,22.9,bajo,4.29
2025-01_OFI-BCN-001,2025-01,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,online,baja,2218.0,1987,210,22,58.5,excelente,4.75
2025-02_OFI-MAD-001,2025-02,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,telefono,baja,1615.0,1326,209,44,62.7,bajo,4.27
2025-02_OFI-MAD-002,2025-02,OFI-MAD-002,Oficina Empleo Norte,Madrid,Comunidad de Madrid,Norte,presencial,baja,3064.0,2472,143,45,29.8,medio,2.81
2025-02_OFI-MAD-003,2025-02,OFI-MAD-003,Oficina Empleo Sur,Madrid,Comunidad de Madrid,Sur,telefono,media,2167.0,1825,155,92,12.8,medio,2.9
2025-02_OFI-VAL-001,2025-02,OFI-VAL-001,Oficina Empleo Valencia,Valencia,Comunidad Valenciana,Este,online,alta,1178.0,875,60,32,63.8,bajo,3.96
2025-02_OFI-VAL-002,2025-02,OFI-VAL-002,Oficina Empleo Levante,Valencia,Comunidad Valenciana,Levante,presencial,media,1302.0,1062,56,48,50.3,medio,4.62
2025-02_OFI-SEV-001,2025-02,OFI-SEV-001,Oficina Empleo Sevilla,Sevilla,Andalucía,Oeste,telefono,media,2285.0,-25,24,94,26.2,medio,3.04
2025-02_OFI-SEV-002,2025-02,OFI-SEV-002,Oficina Empleo Andalucía,Sevilla,Andalucía,Sur,presencial,media,1838.0,1386,143,81,24.1,bajo,4.64
2025-02_OFI-BCN-001,2025-02,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,telefono,media,895.0,837,170,19,57.3,bajo,2.97
2025-03_OFI-MAD-001,2025-03,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,online,baja,2619.0,2640,64,66,50.0,medio,4.58
