mes,provincia,comunidad_autonoma,expedientes_recibidos,expedientes_resueltos,documentacion_pendiente,incidencias_abiertas,tiempo_medio_espera_min,satisfaccion_media,tasa_resolucion_pct,ratio_incidencias_pct
2025-03,Barcelona,Cataluña,1200,1134,43,73,49.9,3.98,94.5,6.08
2025-09,Barcelona,Cataluña,1022,858,79,54,28.0,3.3,83.95,5.28
2025-10,Barcelona,Cataluña,1422,1364,142,54,63.1,3.78,95.92,3.8
2025-12,Barcelona,Cataluña,2341,2338,83,63,33.4,4.87,99.87,2.69
2025-03,Madrid,Comunidad de Madrid,6854,6756,297,233,41.2,3.57,98.57,3.4
2025-12,Madrid,Comunidad de Madrid,7337,6375,212,143,23.7,3.81,86.89,1.95
2025-02,Sevilla,Andalucía,4123,1386,167,175,25.2,3.84,33.62,4.24
2025-06,Sevilla,Andalucía,4207,3314,189,118,42.6,4.44,78.77,2.8
2025-07,Sevilla,Andalucía,3464,2856,208,163,35.0,3.24,82.45,4.71
2025-02,Valencia,Comunidad Valenciana,2480,1937,116,80,57.1,4.29,78.1,3.23
2025-05,Valencia,Comunidad Valenciana,3985,3884,343,77,32.3,2.66,97.47,1.93
2025-06,Valencia,Comunidad Valenciana,4179,4050,252,43,27.0,3.96,96.91,1.03
2025-09,Valencia,Comunidad Valenciana,3144,2855,260,71,70.5,3.75,90.81,2.26
2025-11,Valencia,Comunidad Valenciana,5880,5281,302,107,44.5,3.46,89.81,1.82
2025-12,Valencia,Comunidad Valenciana,3738,2737,243,102,32.0,3.57,73.22,2.73
2025-08,Barcelona,Cataluña,2132,2132,128,69,64.8,2.99,100.0,3.24
2025-04,Madrid,Comunidad de Madrid,8345,7954,339,148,30.9,3.35,95.31,1.77
2025-06,Madrid,Comunidad de Madrid,4698,4438,212,193,44.5,4.2,94.47,4.11
2025-09,Madrid,Comunidad de Madrid,6382,5701,481,106,43.6,3.74,89.33,1.66
2025-10,Madrid,Comunidad de Madrid,6148,5222,473,53,68.6,3.94,84.94,0.86
2025-11,Madrid,Comunidad de Madrid,4042,3730,527,185,50.8,3.83,92.28,4.58
2025-04,Sevilla,Andalucía,3723,3189,331,62,43.8,3.84,85.66,1.67
2025-05,Sevilla,Andalucía,3413,2671,247,68,49.6,3.55,78.26,1.99
2025-08,Valencia,Comunidad Valenciana,3618,3414,241,107,50.5,2.62,94.36,2.96
2025-10,Valencia,Comunidad Valenciana,3730,3366,71,138,53.2,3.92,90.24,3.7
2025-04,Barcelona,Cataluña,1566,1386,180,72,26.2,3.21,88.51,4.6
2025-05,Barcelona,Cataluña,2300,1867,45,54,64.0,4.68,81.17,2.35
2025-07,Barcelona,Cataluña,1451,1406,183,0,37.4,3.82,96.9,0.0
2025-11,Barcelona,Cataluña,1481,1147,168,74,19.2,3.55,77.45,5.0
2025-05,Madrid,Comunidad de Madrid,4053,3636,319,144,44.6,3.66,89.71,3.55
2025-08,Madrid,Comunidad de Madrid,6644,5781,358,78,66.6,3.99,87.01,1.17
2025-08,Sevilla,Andalucía,3585,3061,281,68,52.9,4.38,85.38,1.9
2025-09,Sevilla,Andalucía,4735,4420,355,138,32.8,3.95,93.35,2.91
2025-10,Sevilla,Andalucía,4348,4298,215,127,36.3,2.7,98.85,2.92
2025-03,Valencia,Comunidad Valenciana,3420,2781,136,42,44.2,3.47,81.32,1.23
2025-01,Barcelona,Cataluña,2218,1987,210,22,58.5,4.75,89.59,0.99
2025-02,Barcelona,Cataluña,895,837,170,19,57.3,2.97,93.52,2.12
2025-06,Barcelona,Cataluña,1503,1340,41,71,26.9,3.29,89.16,4.72
2025-01,Madrid,Comunidad de Madrid,7600,6578,394,173,49.2,2.82,86.55,2.28
2025-02,Madrid,Comunidad de Madrid,6846,5623,507,181,35.1,3.33,82.14,2.64
2025-07,Madrid,Comunidad de Madrid,7277,6323,253,101,39.4,4.37,86.89,1.39
2025-01,Sevilla,Andalucía,5448,4576,128,134,20.4,4.2,83.99,2.46
2025-03,Sevilla,Andalucía,2677,2336,252,165,27.6,4.38,87.26,6.16
2025-11,Sevilla,Andalucía,4408,3841,360,77,23.2,3.32,87.14,1.75
2025-12,Sevilla,Andalucía,5747,4759,290,43,21.0,3.48,82.81,0.75
2025-01,Valencia,Comunidad Valenciana,4541,3973,357,139,39.4,3.08,87.49,3.06
2025-04,Valencia,Comunidad Valenciana,3045,2797,137,87,41.6,4.77,91.86,2.86
2025-07,Valencia,Comunidad Valenciana,3924,3591,187,65,51.9,3.38,91.51,1.66
