mes,expedientes_recibidos,expedientes_resueltos,incidencias_abiertas,tiempo_medio_espera_min,satisfaccion_media,tasa_resolucion_pct,ratio_incidencias_pct
2025-01,19807,17114,468,40.7,3.47,86.4,2.36
2025-02,14344,9783,455,40.9,3.65,68.2,3.17
2025-03,14151,13007,513,39.6,3.8,91.92,3.63
2025-04,16679,15326,369,36.2,3.81,91.89,2.21
2025-05,13751,12058,343,45.2,3.51,87.69,2.49
2025-06,14587,13142,425,37.4,4.09,90.09,2.91
2025-07,16116,14176,329,41.1,3.77,87.96,2.04
2025-08,15979,14388,322,58.9,3.62,90.04,2.02
2025-09,15283,13834,369,45.7,3.74,90.52,2.41
2025-10,15648,14250,372,56.0,3.6,91.07,2.38
2025-11,15811,13999,443,38.3,3.57,88.54,2.8
2025-12,19163,16209,351,26.3,3.8,84.58,1.83
