registro_id,mes,oficina_id,oficina,provincia,comunidad_autonoma,zona_operativa,canal_principal,prioridad_media_expedientes,expedientes_recibidos,expedientes_resueltos,documentacion_pendiente,incidencias_abiertas,tiempo_medio_espera_min,nivel_servicio,satisfaccion_media,tasa_resolucion_pct,ratio_incidencias_pct,riesgo_operativo
2025-01_OFI-BCN-001,2025-01,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,online,baja,2218,1987,210,22,58.5,alto,4.75,89.59,0.99,alto
2025-02_OFI-BCN-001,2025-02,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,telefono,media,895,837,170,19,57.3,bajo,2.97,93.52,2.12,alto
2025-03_OFI-BCN-001,2025-03,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,telefono,baja,1200,1134,43,73,49.9,medio,3.98,94.5,6.08,alto
2025-04_OFI-BCN-001,2025-04,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,telefono,media,1566,1386,180,72,26.2,medio,3.21,88.51,4.6,medio
2025-05_OFI-BCN-001,2025-05,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,online,alta,2300,1867,45,54,64.0,bajo,4.68,81.17,2.35,alto
2025-06_OFI-BCN-001,2025-06,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,presencial,alta,1503,1340,41,71,26.9,medio,3.29,89.16,4.72,medio
2025-07_OFI-BCN-001,2025-07,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,telefono,baja,1451,1406,183,0,37.4,medio,3.82,96.9,0.0,bajo
2025-08_OFI-BCN-001,2025-08,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,telefono,baja,2132,2132,128,69,64.8,bajo,2.99,100.0,3.24,alto
2025-09_OFI-BCN-001,2025-09,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,telefono,media,1022,858,79,54,28.0,medio,3.3,83.95,5.28,alto
2025-10_OFI-BCN-001,2025-10,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,presencial,alta,1422,1364,142,54,63.1,bajo,3.78,95.92,3.8,alto
2025-11_OFI-BCN-001,2025-11,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,online,baja,1481,1147,168,74,19.2,bajo,3.55,77.45,5.0,alto
2025-12_OFI-BCN-001,2025-12,OFI-BCN-001,Oficina Empleo Cataluña,Barcelona,Cataluña,Noreste,presencial,baja,2341,2338,83,63,33.4,medio,4.87,99.87,2.69,bajo
2025-01_OFI-MAD-001,2025-01,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,telefono,alta,1908,1482,91,65,47.8,bajo,3.51,77.67,3.41,alto
2025-02_OFI-MAD-001,2025-02,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,telefono,baja,1615,1326,209,44,62.7,bajo,4.27,82.11,2.72,alto
2025-03_OFI-MAD-001,2025-03,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,online,baja,2619,2619,64,66,50.0,medio,4.58,100.0,2.52,medio
2025-04_OFI-MAD-001,2025-04,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,telefono,alta,2991,2928,143,63,23.2,medio,2.5,97.89,2.11,medio
2025-05_OFI-MAD-001,2025-05,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,online,baja,1439,1289,206,90,27.9,medio,3.01,89.58,6.25,alto
2025-06_OFI-MAD-001,2025-06,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,telefono,media,835,807,84,12,54.1,medio,4.39,96.65,1.44,medio
2025-07_OFI-MAD-001,2025-07,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,online,media,1940,1424,113,66,54.2,bajo,3.59,73.4,3.4,alto
2025-08_OFI-MAD-001,2025-08,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,presencial,media,2252,1881,115,28,64.0,bajo,3.8,83.53,1.24,alto
2025-09_OFI-MAD-001,2025-09,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,telefono,alta,2248,1862,178,23,58.6,bajo,3.8,82.83,1.02,alto
2025-10_OFI-MAD-001,2025-10,OFI-MAD-001,Oficina Empleo Centro,Madrid,Comunidad de Madrid,Centro,online,media,2327,1898,176,17,66.7,bajo,4.46,81.56,0.73,alto
